iso3,year,grupo,pct_si,n
SLV,2010,indigena,9.3,54
SLV,2010,mestizo,12.9,617
SLV,2010,otros,13.7,15
URY,2010,afro,24.6,57
URY,2010,blanco,8.2,840
URY,2010,indigena,38.5,13
URY,2010,mestizo,17.0,88
URY,2010,otros,19.6,51
VEN,2010,afro,11.3,316
VEN,2010,blanco,16.6,340
VEN,2010,indigena,31.0,35
VEN,2010,mestizo,13.2,395
VEN,2010,otros,34.1,7
ARG,2011,afro,17.9,16
ARG,2011,blanco,14.8,728
ARG,2011,indigena,54.7,17
ARG,2011,mestizo,18.6,310
ARG,2011,otros,27.1,36
BOL,2011,afro,52.4,21
BOL,2011,blanco,31.2,48
BOL,2011,indigena,51.0,298
BOL,2011,mestizo,27.5,669
BOL,2011,otros,12.5,8
BRA,2011,afro,51.4,354
BRA,2011,blanco,24.9,582
BRA,2011,indigena,38.9,18
BRA,2011,mestizo,32.7,199
BRA,2011,otros,42.1,19
CHL,2011,afro,24.9,5
CHL,2011,blanco,17.9,700
CHL,2011,indigena,44.8,82
CHL,2011,mestizo,24.3,300
CHL,2011,otros,10.2,19
COL,2011,afro,27.3,127
COL,2011,blanco,17.8,297
COL,2011,indigena,28.2,64
COL,2011,mestizo,19.1,558
COL,2011,otros,26.3,30
CRI,2011,afro,20.0,185
CRI,2011,blanco,17.0,382
CRI,2011,indigena,23.8,42
CRI,2011,mestizo,16.2,303
CRI,2011,otros,28.6,14
DOM,2011,afro,23.0,485
DOM,2011,blanco,16.8,113
DOM,2011,indigena,14.2,35
DOM,2011,mestizo,8.7,287
DOM,2011,otros,3.4,29
ECU,2011,afro,23.7,76
ECU,2011,blanco,30.0,40
ECU,2011,indigena,26.2,80
ECU,2011,mestizo,14.4,930
ECU,2011,otros,0.0,10
GTM,2011,afro,22.9,13
GTM,2011,blanco,24.4,264
GTM,2011,indigena,45.1,403
GTM,2011,mestizo,26.1,150
GTM,2011,otros,37.2,8
HND,2011,afro,35.0,67
HND,2011,blanco,18.5,90
HND,2011,indigena,32.2,106
HND,2011,mestizo,18.9,590
HND,2011,otros,21.6,21
MEX,2011,afro,27.3,22
MEX,2011,blanco,16.9,65
MEX,2011,indigena,24.6,224
MEX,2011,mestizo,22.7,608
MEX,2011,otros,18.6,43
NIC,2011,afro,31.6,40
NIC,2011,blanco,23.4,48
NIC,2011,indigena,23.5,73
NIC,2011,mestizo,15.7,641
NIC,2011,otros,13.2,8
PAN,2011,afro,13.2,151
PAN,2011,blanco,13.8,160
PAN,2011,indigena,38.8,67
PAN,2011,mestizo,8.0,511
PAN,2011,otros,26.3,19
PER,2011,afro,12.0,25
PER,2011,blanco,20.3,69
PER,2011,indigena,64.9,77
PER,2011,mestizo,27.2,880
PER,2011,otros,29.4,17
PRY,2011,afro,25.9,16
PRY,2011,blanco,11.5,385
PRY,2011,indigena,2.3,25
PRY,2011,mestizo,15.4,616
PRY,2011,otros,10.4,17
SLV,2011,afro,11.4,70
SLV,2011,blanco,9.2,98
SLV,2011,indigena,14.2,49
SLV,2011,mestizo,5.7,658
SLV,2011,otros,0.0,24
URY,2011,afro,33.8,74
URY,2011,blanco,13.0,862
URY,2011,indigena,27.3,11
URY,2011,mestizo,22.4,76
URY,2011,otros,20.0,35
VEN,2011,afro,16.0,336
VEN,2011,blanco,13.4,369
VEN,2011,indigena,20.0,37
VEN,2011,mestizo,7.8,386
VEN,2011,otros,20.6,4
ARG,2015,afro,24.9,20
ARG,2015,blanco,15.9,747
ARG,2015,indigena,0.0,7
ARG,2015,mestizo,16.4,335
ARG,2015,otros,45.6,8
BOL,2015,afro,31.2,16
BOL,2015,blanco,8.7,23
BOL,2015,indigena,40.8,250
BOL,2015,mestizo,23.1,774
BOL,2015,otros,13.3,15
BRA,2015,afro,27.9,337
BRA,2015,blanco,14.2,513
BRA,2015,indigena,20.0,10
BRA,2015,mestizo,25.2,155
BRA,2015,otros,15.3,189
CHL,2015,afro,20.0,10
CHL,2015,blanco,28.4,683
CHL,2015,indigena,52.5,47
CHL,2015,mestizo,31.0,332
CHL,2015,otros,2.3,17
COL,2015,afro,14.0,130
COL,2015,blanco,5.7,286
COL,2015,indigena,12.0,76
COL,2015,mestizo,7.7,560
COL,2015,otros,3.8,12
CRI,2015,afro,17.6,187
CRI,2015,blanco,14.0,436
CRI,2015,indigena,33.3,48
CRI,2015,mestizo,19.0,237
CRI,2015,otros,9.1,11
DOM,2015,afro,15.6,406
DOM,2015,blanco,19.0,144
DOM,2015,indigena,15.1,80
DOM,2015,mestizo,21.5,332
DOM,2015,otros,0.0,7
ECU,2015,afro,15.5,71
ECU,2015,blanco,12.5,24
ECU,2015,indigena,13.6,59
ECU,2015,mestizo,7.3,1001
ECU,2015,otros,0.0,8
GTM,2015,afro,30.3,10
GTM,2015,blanco,15.4,336
GTM,2015,indigena,29.2,280
GTM,2015,mestizo,20.8,107
GTM,2015,otros,18.7,27
HND,2015,afro,26.9,41
HND,2015,blanco,19.0,143
HND,2015,indigena,21.1,89
HND,2015,mestizo,10.6,579
HND,2015,otros,22.2,6
MEX,2015,afro,20.0,35
MEX,2015,blanco,11.9,135
MEX,2015,indigena,19.6,143
MEX,2015,mestizo,17.6,709
MEX,2015,otros,15.8,19
NIC,2015,afro,16.2,68
NIC,2015,blanco,9.7,74
NIC,2015,indigena,16.4,80
NIC,2015,mestizo,11.6,733
NIC,2015,otros,0.0,5
PAN,2015,afro,20.9,201
