iso3,ronda,item,item_label,pct_hostil,n
URY,2020,C_004_214,Enviarlos de regreso a su pais,34.9,1168
MEX,2020,C_004_214,Enviarlos de regreso a su pais,36.7,1184
BOL,2020,C_004_214,Enviarlos de regreso a su pais,47.1,1165
COL,2020,C_004_214,Enviarlos de regreso a su pais,49.5,1180
ECU,2020,C_004_214,Enviarlos de regreso a su pais,50.4,1184
PRY,2020,C_004_214,Enviarlos de regreso a su pais,50.6,1145
PAN,2020,C_004_214,Enviarlos de regreso a su pais,52.5,977
ARG,2020,C_004_214,Enviarlos de regreso a su pais,56.8,1105
GTM,2020,C_004_214,Enviarlos de regreso a su pais,58.4,941
DOM,2020,C_004_214,Enviarlos de regreso a su pais,58.5,977
CHL,2020,C_004_214,Enviarlos de regreso a su pais,59.4,1125
PER,2020,C_004_214,Enviarlos de regreso a su pais,64.7,1169
CRI,2020,C_004_214,Enviarlos de regreso a su pais,65.6,985
