iso3,cod,grupo,pct,n
CRI,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.3,3
CRI,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.3,3
CRI,13,Inmigrantes de Venezuela,0.1,1
CRI,19,Enfermos de SIDA,0.1,1
CRI,25,Jóvenes,0.1,1
CRI,30,Pertenecen a grupos feministas,0.1,1
CRI,38,Alcohólicos,0.1,1
DOM,10,Pobres,27.3,221
DOM,11,Inmigrantes (en general),24.2,196
DOM,97,Ninguna (no hay personas o grupos de personas discriminadas),11.5,93
DOM,20,Homosexuales,8.8,71
DOM,32,Madres solteras,7.5,61
DOM,96,Otros,5.3,43
DOM,33,Personas en situación de calle/ indigentes,3.2,26
DOM,28,"Pertenecen a algún partido político (comunista, socialista etc)",2.7,22
DOM,23,Mujeres,2.0,16
DOM,1,Negros o afrodescendientes,1.6,13
DOM,24,Viejos,1.4,11
DOM,18,Discapacitados,1.1,9
DOM,21,Drogadictos,0.7,6
DOM,25,Jóvenes,0.7,6
DOM,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.6,5
DOM,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.4,3
DOM,26,Analfabetos / sin educación,0.2,2
DOM,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,0.2,2
DOM,6,Asiáticos (Chinos/ japoneses),0.1,1
DOM,22,Personas con tatuajes,0.1,1
DOM,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.1,1
DOM,34,Campesinos/ personas que trabajan el campo,0.1,1
DOM,39,Personas discriminadas por su raza (sin especificar),0.1,1
ECU,10,Pobres,26.3,256
ECU,97,Ninguna (no hay personas o grupos de personas discriminadas),16.1,157
ECU,2,Indígenas,13.4,130
ECU,1,Negros o afrodescendientes,8.6,84
ECU,96,Otros,6.2,60
ECU,20,Homosexuales,6.1,59
ECU,11,Inmigrantes (en general),4.8,47
ECU,18,Discapacitados,3.4,33
ECU,24,Viejos,3.0,29
ECU,39,Personas discriminadas por su raza (sin especificar),2.4,23
ECU,13,Inmigrantes de Venezuela,2.1,20
ECU,23,Mujeres,2.0,19
ECU,28,"Pertenecen a algún partido político (comunista, socialista etc)",2.0,19
ECU,34,Campesinos/ personas que trabajan el campo,1.1,11
ECU,21,Drogadictos,0.7,7
ECU,25,Jóvenes,0.4,4
ECU,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.4,4
ECU,26,Analfabetos / sin educación,0.3,3
ECU,5,Mestizos,0.2,2
ECU,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.2,2
ECU,38,Alcohólicos,0.2,2
ECU,30,Pertenecen a grupos feministas,0.1,1
ECU,40,Médicos o trabajadores de la salud,0.1,1
GTM,10,Pobres,35.5,265
GTM,2,Indígenas,26.5,198
GTM,97,Ninguna (no hay personas o grupos de personas discriminadas),12.6,94
