iso3,region,latam,wave,year,studies,declarado,n_declarado,declarado_inmig,visto,n_visto,z_dec,z_visto,gap_z,visto_esperado,residuo
RUS,Eastern Europe & Central Asia,False,7,2017,WVS,14.69,3635,32.21,6.22,1630,-0.18359217734117136,-0.8868870529763554,-0.703294875635184,14.173086888576055,-7.953086888576055
SGP,Southeast Asia,False,7,2020,WVS,2.09,2012,11.26,5.65,2010,-1.0921787580555304,-0.9523422536950142,0.1398365043605162,15.310630919899955,-9.660630919899955
SRB,Eastern Europe & Central Asia,False,7,2017,WVS,22.28,2416,36.98,5.0,1020,0.36372307247009744,-1.0269841492513798,-1.3907072217214773,13.487852031611895,-8.487852031611895
SVK,Eastern Europe & Central Asia,False,7,2022,WVS,25.52,2554,37.24,9.79,1150,0.5973596217966468,-0.4769307958437021,-1.074290417640349,13.195340709271463,-3.4053407092714636
THA,Southeast Asia,False,7,2018,WVS,32.15,1500,38.88,16.94,1485,1.0754492273630119,0.3441300552763181,-0.7313191720866937,12.596775873741507,4.3432241262584945
TJK,Eastern Europe & Central Asia,False,7,2020,WVS,24.17,1200,19.75,2.67,1200,0.5000110595772513,-1.2945466363995821,-1.7945576959768335,13.317220426913309,-10.647220426913309
TUN,Middle East & North Africa,False,7,2019,WVS,21.9,1137,25.0,22.54,1198,0.33632125495648957,0.9871986939157741,0.6508774389592845,13.522158915096266,9.017841084903733
TUR,Eastern Europe & Central Asia,False,7,2018,WVS,41.88,2376,49.4,16.39,2368,1.777079975803545,0.2809715282670857,-1.4961084475364592,11.718339093996939,4.671660906003062
TWN,East Asia,False,7,2019,WVS,7.64,1223,21.66,2.62,1215,-0.6919680022646817,-1.3002883206731488,-0.6083203184084671,14.809569858483476,-12.189569858483477
UKR,Eastern Europe & Central Asia,False,7,2020,WVS,25.81,2690,25.9,4.06,1137,0.6182715351622946,-1.1349278135944314,-1.7531993487567261,13.169159140296548,-9.109159140296548
URY,Latin America,True,7,2022,WVS,0.63,1000,3.26,6.61,977,-1.1974594253446547,-0.8421019156425361,0.35535750970211855,15.442441577497805,-8.832441577497804
USA,"North America, Australia & New Zealand",False,7,2017,WVS,3.19,2435,8.52,23.56,2574,-1.012857707358245,1.1043290530965322,2.117186760454777,15.211321520339933,8.348678479660066
UZB,Eastern Europe & Central Asia,False,7,2022,WVS,14.16,1250,9.2,10.28,1167,-0.22181050176804515,-0.4206622899627497,-0.19885178819470453,14.22093596290952,-3.9409359629095206
VEN,Latin America,True,7,2021,WVS,7.9,1190,10.34,8.4,1190,-0.673219390281687,-0.6365496186488527,0.03666977163283425,14.786096727678379,-6.386096727678378
VNM,Southeast Asia,False,7,2020,WVS,62.42,1200,52.75,4.67,1200,3.2582203224601267,-1.0648792654569192,-4.323099587917046,9.863961760394325,-5.193961760394325
ZWE,Sub-Saharan Africa,False,7,2020,WVS,5.24,1202,4.99,28.51,1203,-0.8650321128769406,1.6727557961796233,2.537787909056564,15.02624491206898,13.483755087931021
