"id","name","date_of_birth","national_team","country_iso3","birth_country","birth_country_iso3","birthplace_city","match_addr","lon","lat","position","club","club_competition","is_active"
"745200","Maghnes Akliouche","2002-02-25","France","FRA","France","FRA","Tremblay-en-France","Tremblay-en-France, France","2,5589558","48,9802035","Right Winger","AS Monaco","Ligue 1","True"
"669629","Mahmoud Abunada","2000-02-05","Qatar","QAT","Qatar","QAT","Doha","Doha, Qatar","51,5081812","25,3108807","Goalkeeper","Al-Rayyan SC","Stars League","True"
"401086","Mahmoud Al-Mardi","1993-10-06","Jordan","JOR","Jordan","JOR","Aqaba","Aqaba, Jordan","35,0075433","29,5266483","Left Winger","Al-Hussein SC (Irbid)","Jordanian Pro League","True"
"729390","Mahmoud Saber","2001-07-30","Egypt","EGY","Egypt","EGY","Desouk","Desouk, Egypt","30,646198","31,128233","Central Midfield","Zed FC","Egyptian Premier League","True"
"521964","Malick Thiaw","2001-08-08","Germany","DEU","Germany","DEU","DÃ¼sseldorf","DÃ¼sseldorf, Germany","6,7763137","51,2254018","Centre-Back","Newcastle United","Premier League","True"
"467437","Malik Tillman","2002-05-28","United States of America","USA","Germany","DEU","NÃ¼rnberg","NÃ¼rnberg, Germany","11,077298","49,453872","Attacking Midfield","Bayer 04 Leverkusen","Bundesliga","True"
"620322","Malo Gusto","2003-05-19","France","FRA","France","FRA","DÃ©cines-Charpieu","DÃ©cines-Charpieu, France","4,9633314","45,773606","Right-Back","FC Chelsea","Premier League","True"
"910905","Mamadou Sarr","2005-08-29","Senegal","SEN","France","FRA","Martigues","Martigues, France","5,0548176","43,4057279","Centre-Back","FC Chelsea","Premier League","True"
"945266","Manaf Younis","1996-11-16","Iraq","IRQ","Iraq","IRQ","Tikrit","Tikrit, Iraq","43,678606","34,615807","Centre-Back","Al-Shorta SC","Iraq Stars League","True"
"284730","Manuel Akanji","1995-07-19","Switzerland","CHE","Switzerland","CHE","Wiesendangen","Wiesendangen, Switzerland","8,7889904","47,5213051","Centre-Back","Inter Mailand","Serie A","True"
"17259","Manuel Neuer","1986-03-27","Germany","DEU","Germany","DEU","Gelsenkirchen","Gelsenkirchen, Germany","7,0960124","51,5110321","Goalkeeper","FC Bayern MÃ¼nchen","Bundesliga","True"
"476701","Manuel Ugarte","2001-04-11","Uruguay","URY","Uruguay","URY","Montevideo","Montevideo, Uruguay","-56,1913095","-34,9058916","Defensive Midfield","Manchester United","Premier League","True"
"624690","Manu KonÃ©","2001-05-17","France","FRA","France","FRA","Colombes","Colombes, France","2,2543631","48,9227298","Central Midfield","AS Rom","Serie A","True"
"284857","Marc Cucurella","1998-07-22","Spain","ESP","Spain","ESP","Alella","Alella, Spain","2,2935325","41,4955603","Left-Back","FC Chelsea","Premier League","True"
"668495","Marcelo Flores","2003-10-01","Canada","CAN","Canada","CAN","Georgetown, Ontario","Georgetown, Ontario, Canada","-79,9190449","43,6553828","Left Winger","Tigres UANL","Liga MX Apertura","True"
"106987","Marcel Sabitzer","1994-03-17","Austria","AUT","Austria","AUT","Wels","Wels, Austria","14,0243752","48,1565472","Central Midfield","Borussia Dortmund","Bundesliga","True"
