id,name,rank,ocupacion,lugar,lon,lat,fuente,iso3,iso3_geometria,pais,region
236605,Quintus Lutatius Catulus,46647,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
2947624,Francesco Alberoni,46660,JOURNALIST,Borgonovo Val Tidone,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
42937509,Pablo Machín,46665,SOCCER PLAYER,Soria,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
264261,Priscus Attalus,46679,POLITICIAN,Lipari,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
3144411,Sekhemre-Wepmaat Intef,46731,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
8461945,Roberto Anzolin,46743,SOCCER PLAYER,Valdagno,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
734069,Georg Leibbrandt,46762,POLITICIAN,Torosove,,,pais del lugar (Wikidata),UKR,UKR,Ukraine,Europa del Este/Asia Central
262569,Laelianus,46772,POLITICIAN,,,,sin dato en Wikidata,,,,
7013421,Sobekhotep III,46813,POLITICIAN,,,,sin dato en Wikidata,,,,
280753,Hedwig of Saxony,46814,POLITICIAN,,,,sin dato en Wikidata,,,,
36099717,María Martínez Sierra,46835,WRITER,San Millán de la Cogolla,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
3395486,"Herbert I, Count of Vermandois",46848,POLITICIAN,Vermandois,,,pais del lugar (Wikidata),FRA,FRA,France,Europa Occidental
327096,King Gong of Zhou,46873,POLITICIAN,,,,sin dato en Wikidata,,,,
7783802,Elfrida Andrée,46892,COMPOSER,Parroquia de Visby,,,pais del lugar (Wikidata),SWE,SWE,Sweden,Europa Occidental
382907,Rutilius Claudius Namatianus,46893,POLITICIAN,Galia,,,pais del lugar (Wikidata),FRA,FRA,France,Europa Occidental
61987942,Hedju Hor,46914,POLITICIAN,,,,sin dato en Wikidata,,,,
70401789,Mikhail Mizintsev,46957,MILITARY PERSONNEL,Averinskaya,,,pais del lugar (Wikidata),RUS,RUS,Russia,Europa del Este/Asia Central
3019340,Rahotep,47023,RELIGIOUS FIGURE,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
2000016,Ernak,47041,POLITICIAN,,,,sin dato en Wikidata,,,,
5841298,Argaeus I of Macedon,47050,POLITICIAN,,,,sin dato en Wikidata,,,,
13915879,Luigi De Canio,47059,SOCCER PLAYER,Matera,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
264251,Jovinus,47090,POLITICIAN,,,,sin dato en Wikidata,,,,
8073070,Omero Antonutti,47091,ACTOR,Basiliano,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
663127,"Frederick I, Duke of Swabia",47126,POLITICIAN,,,,sin dato en Wikidata,,,,
325562,Manius Curius Dentatus,47127,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
4098556,Aristobulus IV,47132,POLITICIAN,,,,sin dato en Wikidata,,,,
5446002,Vitaly Daraselia,47136,SOCCER PLAYER,Ochamchire,41.46666667,42.71666667,coordenada Pantheon,GEO,GEO,Georgia,Europa del Este/Asia Central
2383914,Paolo Troubetzkoy,47140,SCULPTOR,Intra,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
47204478,"Henry, son of Robert I of Burgundy",47144,COMPANION,,,,sin dato en Wikidata,,,,
8202952,Tai Geng,47146,POLITICIAN,,,,sin dato en Wikidata,,,,
1848609,Julius Constantius,47157,POLITICIAN,,,,sin dato en Wikidata,,,,
1187949,Yosef Haim Brenner,47169,WRITER,Novi Mlini,,,pais del lugar (Wikidata),UKR,UKR,Ukraine,Europa del Este/Asia Central
78827,"Eustace IV, Count of Boulogne",47177,POLITICIAN,Bélgica,,,ciudadania (Wikidata),BEL,BEL,Belgium,Europa Occidental
11017102,Aleksey Suvorin,47183,JOURNALIST,Korshevo,,,pais del lugar (Wikidata),RUS,RUS,Russia,Europa del Este/Asia Central
16358028,Mario Mattoli,47193,FILM DIRECTOR,Tolentino,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
