iso3,region,year,cat,pct,n
BRA,Latin America,2024,otro_idioma,8.2,898
ECU,Latin America,2024,otro_idioma,8.7,1075
PAN,Latin America,2024,otro_idioma,10.7,822
BOL,Latin America,2024,otro_idioma,11.4,1026
HND,Latin America,2024,otro_idioma,11.4,801
SLV,Latin America,2024,otro_idioma,12.7,810
DOM,Latin America,2024,otro_idioma,13.0,925
GTM,Latin America,2024,otro_idioma,13.0,790
ARG,Latin America,2024,parejas_no_casadas,1.1,975
MEX,Latin America,2024,parejas_no_casadas,1.5,863
URY,Latin America,2024,parejas_no_casadas,2.0,958
CHL,Latin America,2024,parejas_no_casadas,2.2,1099
COL,Latin America,2024,parejas_no_casadas,2.7,1017
BRA,Latin America,2024,parejas_no_casadas,2.8,898
VEN,Latin America,2024,parejas_no_casadas,3.3,1020
PER,Latin America,2024,parejas_no_casadas,3.8,1069
CRI,Latin America,2024,parejas_no_casadas,4.1,810
PRY,Latin America,2024,parejas_no_casadas,4.6,1114
DOM,Latin America,2024,parejas_no_casadas,4.8,925
PAN,Latin America,2024,parejas_no_casadas,4.9,822
ECU,Latin America,2024,parejas_no_casadas,5.3,1075
HND,Latin America,2024,parejas_no_casadas,5.4,801
SLV,Latin America,2024,parejas_no_casadas,6.0,810
BOL,Latin America,2024,parejas_no_casadas,6.9,1026
GTM,Latin America,2024,parejas_no_casadas,9.1,790
