iso3,region,study,wave,year,cat,pct,n
BGD,South Asia,WVS,4,2002,antecedentes,3.7,1500
FRA,Western Europe,EVS,5,2008,antecedentes,14.4,1480
CHE,Western Europe,EVS,5,2008,antecedentes,18.5,1253
XNC,Western Europe,EVS,5,2008,antecedentes,22.8,490
LUX,Western Europe,EVS,5,2008,antecedentes,27.2,1535
DEU,Western Europe,EVS,5,2008,antecedentes,27.7,1861
BEL,Western Europe,EVS,5,2009,antecedentes,27.8,1501
SGP,Southeast Asia,WVS,4,2002,antecedentes,30.4,1512
ISL,Western Europe,EVS,5,2009,antecedentes,30.6,756
ESP,Western Europe,EVS,5,2008,antecedentes,33.4,1458
DNK,Western Europe,EVS,5,2008,antecedentes,35.5,1264
SVN,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,35.5,1309
NOR,Western Europe,EVS,5,2008,antecedentes,35.6,1078
PRI,Latin America,WVS,4,2001,antecedentes,36.2,720
PRT,Western Europe,EVS,5,2008,antecedentes,39.4,1516
FIN,Western Europe,EVS,5,2009,antecedentes,40.7,1088
GBR,Western Europe,EVS,5,2009,antecedentes,40.9,1500
ARG,Latin America,WVS,4,1999,antecedentes,43.3,1280
SWE,Western Europe,EVS,5,2009,antecedentes,43.6,1174
BRA,Latin America,WVS,3,1997,antecedentes,44.8,1143
AUS,"North America, Australia & New Zealand",WVS,3,1995,antecedentes,45.3,2048
CAN,"North America, Australia & New Zealand",WVS,4,2000,antecedentes,45.3,1931
AUT,Western Europe,EVS,5,2008,antecedentes,45.6,1453
ARM,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,46.9,1437
PER,Latin America,WVS,5,2006,antecedentes,47.2,1500
NIR,Western Europe,EVS,5,2008,antecedentes,47.4,439
IND,South Asia,WVS,4,2001,antecedentes,48.2,2002
VNM,Southeast Asia,WVS,4,2001,antecedentes,48.3,1000
JPN,East Asia,WVS,2,1990,antecedentes,49.7,1011
NLD,Western Europe,EVS,5,2008,antecedentes,50.1,1466
HUN,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,50.3,1504
TWN,East Asia,WVS,3,1998,antecedentes,51.4,780
ITA,Western Europe,EVS,5,2009,antecedentes,52.7,1427
NZL,"North America, Australia & New Zealand",WVS,5,2004,antecedentes,53.2,954
USA,"North America, Australia & New Zealand",WVS,4,1999,antecedentes,53.8,1200
ZAF,Sub-Saharan Africa,WVS,4,2001,antecedentes,53.9,3000
IDN,Southeast Asia,WVS,4,2001,antecedentes,55.7,1000
HKG,East Asia,WVS,5,2005,antecedentes,56.6,1224
PAK,South Asia,WVS,4,2001,antecedentes,57.9,2000
GRC,Western Europe,EVS,5,2008,antecedentes,58.4,1480
ROU,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,59.4,1381
UKR,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,60.4,1454
LVA,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,61.2,1474
DOM,Latin America,WVS,3,1996,antecedentes,62.4,417
CHL,Latin America,WVS,4,2000,antecedentes,62.5,1200
ALB,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,62.5,1488
