manager_id,qid,birth_country,birth_iso3
M-225,Q43304,,ITA
M-226,Q1189899,,SCO
M-227,Q324484,,UKR
M-228,Q324484,,UKR
M-229,Q274696,,FRA
M-230,Q721989,,URY
M-231,Q387550,,ESP
M-232,Q967859,,ARG
M-233,Q2420797,,SRB
M-234,Q4462,,DEU
M-235,Q972257,,ESP
M-236,Q9002993,,
M-237,Q65059833,,
M-238,Q374250,,TUN
M-239,Q1967743,,SCO
M-240,Q296350,,ITA
M-241,Q17515,,ARG
M-242,Q725481,,SVK
M-243,Q357994,,ESP
M-244,Q356773,,CHL
M-245,Q2370062,,
M-246,Q940316,,COL
M-247,Q969852,,ITA
M-248,Q437925,,ENG
M-249,Q978320,,SCO
M-250,Q93697,,CZE
M-251,Q751340,,CZE
M-252,Q1932691,,MEX
M-253,Q747340,,DZA
M-254,Q313277,,ARG
M-255,Q64152581,,ENG
M-256,Q645649,,HUN
M-257,Q359405,,FRA
M-258,Q902579,,SRB
M-259,Q434641,,FRA
M-260,Q2154479,,
M-261,Q5202123,,BLR
M-262,Q2635474,,SRB
M-263,Q571582,,AUS
M-264,Q456940,,MKD
M-265,Q1670685,,SCO
M-266,Q318437,,SRB
M-267,Q2036839,,JPN
M-268,Q2014297,,BGR
M-269,Q2469870,,IRN
M-270,Q460330,,ITA
M-271,Q794217,,BRA
M-272,Q2546156,,BRA
M-273,Q2428403,,JPN
M-274,Q2363815,,RUS
M-275,Q3784422,,CHE
M-276,Q361210,,ESP
M-277,Q735062,,WAL
M-278,Q16267417,,PRK
M-279,Q974904,,PRK
M-280,Q905378,,HUN
M-281,Q1039308,,HUN
M-282,Q696446,,AUT
M-283,Q350508,,POL
M-284,Q289857,,DEU
M-285,Q483076,,RUS
M-286,Q551386,,DEU
M-287,Q218063,,ENG
M-288,Q536260,,ROU
M-289,Q1928172,,JPN
M-290,Q1375573,,
M-291,Q478558,,ITA
M-292,Q11436627,,JPN
M-293,Q331991,,JPN
M-294,Q29788055,,NGA
M-295,Q80334193,,
M-296,Q971741,,ARG
M-297,Q759193,,PRT
M-298,Q524229,,NOR
M-299,Q310103,,DNK
M-300,Q2412019,,NGA
M-301,Q933401,,SCO
M-302,Q719431,,HUN
M-303,Q366783,,BIH
M-304,Q3298076,,COL
M-305,Q2057299,,BGR
M-306,Q10552,,WAL
M-307,Q6076923,,GHA
M-308,Q4971675,,SWE
M-309,Q1335890,,GRC
M-310,Q706333,,BRA
M-311,Q190917,,BRA
M-312,Q2696991,,ITA
M-313,Q15802,,ARG
M-314,Q365127,,ARG
M-315,Q315800,,ARG
M-316,Q931078,,NOR
M-317,Q562386,,BGR
M-318,Q173923,,HRV
M-319,Q123937,,BIH
M-320,Q1360765,,CZE
M-321,Q16563494,,SWE
M-322,Q369506,,DEU
M-323,Q931935,,FRA
M-324,Q597938,,POL
M-325,Q284250,,BRA
M-326,Q2733919,,COL
M-327,Q470178,,POL
M-328,Q15831010,,BRA
M-329,Q508489,,ARG
M-330,Q1362122,,URY
M-331,Q2849301,,GRC
M-332,Q10861,,ENG
M-333,Q318041,,ITA
M-334,Q218380,,ITA
M-335,Q1649909,,ITA
M-336,Q257492,,AUT
M-337,Q975247,,URY
M-338,Q510397,,ITA
M-339,Q313209,,MOZ
M-340,Q10538515,,ESP
M-341,Q868852,,ROU
M-342,Q282716,,SRB
M-343,Q428402,,CRI
M-344,Q311029,,ENG
M-345,Q123447,,AUT
M-346,Q3929825,,BIH
M-347,Q1508164,,ENG
M-348,Q598115,,PRY
M-349,Q2442776,,ENG
M-350,Q3052128,,FRA
M-351,Q518211,,DEU
M-352,Q2356511,,
M-353,Q463158,,FRA
M-354,Q80334303,,
M-355,Q2413442,,CHL
M-356,Q189587,,ENG
M-357,Q1708974,,MEX
M-358,Q430468,,SLV
M-359,Q68132,,DEU
M-360,Q433612,,RUS
M-361,Q527356,,SCO
M-362,Q3430324,,COL
M-363,Q663127,,COL
M-364,Q594434,,URY
M-365,Q368319,,DEU
M-366,Q436681,,DZA
M-367,Q456000,,ARG
M-368,Q294259,,ITA
M-369,Q1333509,,RUS
M-370,Q1089864,,ARG
M-371,Q15631605,,WAL
M-372,Q730440,,USA
M-373,Q53870658,,ESP
M-374,Q503248,,URY
M-375,Q361252,,BRA
M-376,Q968956,,CHL
M-377,Q360687,,PRT
M-378,Q16149960,,
M-379,Q949030,,SRB
M-380,Q1321232,,JPN
M-381,Q714181,,BOL
M-382,Q2464380,,ROU
M-383,Q311586,,ARG
M-384,Q551381,,DEU
M-385,Q605398,,HUN
M-386,Q2527091,,DEU
M-387,Q3760403,,AUT
M-388,Q1373310,,DEU
M-389,Q191634,,BRA
M-390,Q381770,,HUN
M-391,Q83775,,
M-392,Q700148,,AUT
M-393,Q562738,,SCO
M-394,Q9040969,,
M-395,Q497404,,KOR
M-396,Q2569348,,BRA
M-397,Q896314,,SRB
M-398,Q6176544,,SWE
M-399,Q28092176,,SWE
M-400,Q724528,,SWE
M-401,Q593389,,ARG
M-402,Q215533,,CMR
M-403,Q1702701,,ZAF
M-404,Q386789,,TUN
M-405,Q316681,,ENG
M-406,Q18050960,,THA
M-407,Q309645,,ARG
M-408,Q16214640,,AUS
M-409,Q3514717,,
M-410,Q355378,,SCO
M-411,Q257548,,SRB
M-412,Q270367,,ESP
M-413,Q725213,,COL
M-414,Q434362,,SWE
M-415,Q548629,,URY
M-416,Q317536,,BIH
M-417,Q3303906,,JPN
M-418,Q705590,,SWE
M-419,Q15149,,URY
M-420,Q20204933,,COL
M-421,Q11668810,,JPN
M-422,Q2439789,,IRN
M-423,Q732602,,ESP
M-424,Q587025,,HTI
M-425,Q272686,,DEU
M-426,Q579497,,BEL
M-427,Q2475786,,BRA
M-428,Q722572,,SRB
M-429,Q40652,,BRA
M-430,Q508897,,PRT
M-431,Q28872529,,CIV
M-432,Q1710536,,ARG
M-433,Q44420,,ITA
M-434,Q653562,,MEX
M-435,Q461479,,FRA
M-436,Q80334547,,ENG
M-437,Q514625,,
M-438,Q3304133,,JPN
M-439,Q45149,,AUT
M-440,Q7908397,,BRA
M-441,Q1408093,,ITA
M-442,Q20140867,,CRI
M-443,Q483629,,
M-444,Q207431,,
M-445,Q362322,,BEL
M-446,Q298976,,
M-447,Q444279,,SVK
M-448,Q317086,,
M-449,Q919543,,MEX
M-450,Q444684,,ITA
M-451,Q2421391,,MKD
M-452,Q2023788,,URY
M-453,Q21872801,,ESP
M-454,Q646777,,ESP
M-455,Q708893,,FRA
M-456,Q2538624,,BRA
M-457,Q828203,,DEU
M-458,Q44464,,DEU
M-459,Q548038,,DEU
M-460,Q2494967,,BGR
M-461,Q282029,,AUT
M-462,Q2629224,,ENG
M-463,Q1178887,,SCO
M-464,Q931437,,BEL
M-465,Q258512,,SVK
M-466,Q682869,,
M-467,Q2224924,,
M-468,Q346427,,BEL
M-469,Q10393837,,
M-470,Q531168,,ENG
M-471,Q113245,,CHE
M-472,Q487477,,KOR
M-473,Q316633,,ITA
M-474,Q311511,,BRA
M-475,Q47526,,BRA
